site_code,node,site_name,site_type,site_description
SWK,SWK_D,Lower Swauk Creek,INT,"SWK is a permanent instream PIT tag detection system located at rkm 1.8 on lower Swauk creek.  SWK was originally installed at rkm 0.5 and was operational from August of 2011-February of 2016.  The site has been relocated to reduce the number of “dip in” detections as well as alleviating antenna noise issues.  The site now consists of four rows of antennas, two 20ft HDPE flat plates and two 20ft X 8ft PEX pass-through antennas separated by ~25ft.  All four rows of antennas span the wetted width of the channel during most flow conditions.   The antennas were built by Yakama Nation and WDFW staff and installed using Manta ray MR4 anchors and NRS straps.  The antennas are powered by Biomark IS1001 ACNs daisy chained to a Biomark IS1001 MTS.  The site is connected to grid power."
SWK,SWK_U,Lower Swauk Creek,INT,"SWK is a permanent instream PIT tag detection system located at rkm 1.8 on lower Swauk creek.  SWK was originally installed at rkm 0.5 and was operational from August of 2011-February of 2016.  The site has been relocated to reduce the number of “dip in” detections as well as alleviating antenna noise issues.  The site now consists of four rows of antennas, two 20ft HDPE flat plates and two 20ft X 8ft PEX pass-through antennas separated by ~25ft.  All four rows of antennas span the wetted width of the channel during most flow conditions.   The antennas were built by Yakama Nation and WDFW staff and installed using Manta ray MR4 anchors and NRS straps.  The antennas are powered by Biomark IS1001 ACNs daisy chained to a Biomark IS1001 MTS.  The site is connected to grid power."
TAN,TAN_D,Taneum Creek Instream,INT,"TThe interrogation site is located on Taneum Creek. From 2010 through 2016, it was located near the mouth of the creek. In 2017, the site was relocated approximately 3 km upstream near the Taneum Canal Company diversion dam and fish screen. The site is currently operating two stream-width antennas in a pass over configuration, synchronized by a Biomark IS1001 Master Controller. Each antenna is approximately 8.5 meters (28 ft) in length and 1 m (3 ft) wide. Previous configurations used a Destron-Fearing FS1001M transceiver and had from 1 to 6 antennas."
TAN,TAN_U,Taneum Creek Instream,INT,"TThe interrogation site is located on Taneum Creek. From 2010 through 2016, it was located near the mouth of the creek. In 2017, the site was relocated approximately 3 km upstream near the Taneum Canal Company diversion dam and fish screen. The site is currently operating two stream-width antennas in a pass over configuration, synchronized by a Biomark IS1001 Master Controller. Each antenna is approximately 8.5 meters (28 ft) in length and 1 m (3 ft) wide. Previous configurations used a Destron-Fearing FS1001M transceiver and had from 1 to 6 antennas."
TOP,TOP_D,Lower Toppenish Creek,INT,"This is a passive in-stream interrogation system consisting of two rows of 3 antennas spanning the width of Toppenish Creek (see plan view below). The site is located approximately 1700 meters upstream from the confluence of Toppenish Creek with the Yakima River at rkm 130, based on 2011 aerial photography. The location is 1350 meters east and 200 meters south of the intersection of Chausee Road and Indian Church Road in Yakima County, Washington, within the Yakama Reservation."
TOP,TOP_U,Lower Toppenish Creek,INT,"This is a passive in-stream interrogation system consisting of two rows of 3 antennas spanning the width of Toppenish Creek (see plan view below). The site is located approximately 1700 meters upstream from the confluence of Toppenish Creek with the Yakima River at rkm 130, based on 2011 aerial photography. The location is 1350 meters east and 200 meters south of the intersection of Chausee Road and Indian Church Road in Yakima County, Washington, within the Yakama Reservation."
TP2,TP2_D,Toppenish Creek at Simcoe Ck,INT,Toppenish Creek upstream from Simcoe Creek.  Simcoe Creek is the largest tributary to Toppenish Creek at River km 50.  The PIT tag antenna array is located about 0.75 km upstream from the confluence of Toppenish Creek and Simcoe Creek.  There are a total of 4 antennas in this array with 2 crossing the creek in an upstream location and 2 crossing the stream about 10 meters downstream.  Each antenna is 25 feet long.  The generator and master controller are located on the right bank.  The IS1001 are located near the antennas in submersible pods.
TP2,TP2_U,Toppenish Creek at Simcoe Ck,INT,Toppenish Creek upstream from Simcoe Creek.  Simcoe Creek is the largest tributary to Toppenish Creek at River km 50.  The PIT tag antenna array is located about 0.75 km upstream from the confluence of Toppenish Creek and Simcoe Creek.  There are a total of 4 antennas in this array with 2 crossing the creek in an upstream location and 2 crossing the stream about 10 meters downstream.  Each antenna is 25 feet long.  The generator and master controller are located on the right bank.  The IS1001 are located near the antennas in submersible pods.
UMC,UMC_D,Upper Manastash Creek,INT,"The Upper Manastash in-stream pit tag array is located at 46.967935, -120.683865, just below the county bridge near the mouth of Manastash canyon. The site has two 20 ft X 24 in Biomark lite flat plate antennas both spanning the wetted width of the creek. The antennas are anchored to the substrate with MR-4 anchors. Each antenna has an IS1001 in a Biomark submersible enclosure. The enclosures are daisy-chained with 1 cable running 100 ft to the enclosure holding the IS1001 MTS. The site is hooked up to grid power and was installed by Yakama Nation and WDFW."
UMC,UMC_U,Upper Manastash Creek,INT,"The Upper Manastash in-stream pit tag array is located at 46.967935, -120.683865, just below the county bridge near the mouth of Manastash canyon. The site has two 20 ft X 24 in Biomark lite flat plate antennas both spanning the wetted width of the creek. The antennas are anchored to the substrate with MR-4 anchors. Each antenna has an IS1001 in a Biomark submersible enclosure. The enclosures are daisy-chained with 1 cable running 100 ft to the enclosure holding the IS1001 MTS. The site is hooked up to grid power and was installed by Yakama Nation and WDFW."
ROZ,NA,Roza Diversion Dam (Combined),INT,"This site monitors the fish ladder and part of the west roller-gate spillway at Roza Dam. Three antennas are in notched weirs of the fish ladder, which was previously monitored under site code RZF. One 5ft by 2ft flat plate antenna is installed on the overflow drum of the spillway."
